QUAD,LAT,LONG,AREA,minElevation,maxElevation,TMP,AET,PET,PRECIP,BIRD,TREE,REPT,Above/Below FP
333,66.25,-87.5,187,0,750,-12.5,175,162.5,250,30,1,0,Below
335,67,-83,532,0,400,-12.5,175,162.5,250,28,1,0,Below
401,64.5,-166,47,0,900,-2.5,237.5,262.5,400,98,1,0,Below
403,63,-162,518,0,1050,-2.5,237.5,275,500,115,10,0,Below
405,63.75,-157.5,715,0,750,-2.5,237.5,312.5,400,115,17,0,Below
407,63.75,-152.5,715,0,4500,-3,237.5,362.5,500,115,18,0,Below
409,63.75,-147.5,715,0,3500,-3.75,237.5,387.5,500,120,20,0,Below
411,63.75,-142.5,715,150,3500,-5.83,237.5,437.5,500,120,21,0,Below
413,63.75,-137.5,715,300,1750,-5,237.5,437.5,300,120,18,0,Below
415,63.75,-132.5,715,500,2250,-6.5,237.5,437.5,375,115,17,0,Below
417,63.75,-127.5,715,0,2750,-7.5,237.5,437.5,500,115,19,0,Below
419,63.75,-122.5,82,0,1250,-7,250,425,500,118,21,0,Below
421,63.75,-117.5,710,0,750,-7,250,400,300,118,14,0,Below
423,63.75,-112.5,705,0,750,-8,237.5,362.5,300,110,17,0,Below
425,63.75,-107.5,710,0,350,-10,237.5,325,300,110,12,0,Below
427,63.75,-102.5,715,0,350,-12,237.5,287.5,300,58,5,0,Below
429,63.75,-97.5,715,0,350,-12.5,237.5,250,300,45,3,0,Below
431,64,-93,560,0,350,-12.5,237.5,225,300,35,2,0,Below
433,64.5,-89,186,0,350,-12.5,237.5,212.5,300,30,1,0,Below
501,61.75,-165.5,82,0,750,-2.5,275,287.5,700,115,1,0,Below
503,61.5,-163.5,765,0,1050,-2.5,275,312.5,600,115,9,0,Below
505,61.25,-157.5,788,0,1350,-2.5,275,362.5,500,105,13,0,Below
507,61.25,-152.5,124,0,3250,-2.5,300,387.5,700,108,21,0,Below
509,61.75,-147.5,579,0,2250,-0.01,300,437.5,1500,128,25,0,Below
511,61.25,-142.5,780,0,4500,-8.75,300,437.5,2500,138,25,0,Below
513,61.25,-137.5,788,300,4500,-3.75,275,437.5,2500,138,23,0,Below
515,61.25,-132.5,788,500,2250,-2.5,262.5,462.5,400,138,24,0,Below
517,61.25,-127.5,788,500,2750,-6.25,275,462.5,400,135,25,0,Below
519,61.25,-122.5,788,100,1750,-3.5,300,475,500,148,26,0,Below
521,61.25,-117.5,620,100,750,-3.5,300,462.5,400,150,24,0,Below
523,61,-111.5,496,100,350,-4.17,300,450,300,145,24,1,Below
525,61.25,-107.5,788,200,750,-5.83,275,400,300,128,14,1,Below
527,61.25,-102.5,788,200,600,-7.5,275,362.5,300,95,9,0,Below
529,61.25,-97.5,788,0,350,-9.17,262.5,325,300,65,7,0,Below
531,62,-93.5,165,0,150,-12.5,262.5,300,300,50,2,0,Below
537,61.25,-76.5,434,0,750,-7.5,162.5,200,300,38,0,0,Below
539,61,-73.5,517,0,750,-7.5,162.5,200,300,38,1,0,Below
541,61,-70,15,0,350,-7.5,162.5,200,300,40,0,0,Below
543,60,-65,15,0,350,-7.5,162.5,200,500,42,1,0,Below
603,59.5,-161,140,0,1350,-1.25,275,350,600,105,4,0,Below
605,59,-157,665,0,2250,1.25,275,387.5,800,105,15,0,Above
607,58.5,-153.5,229,0,2250,0.01,325,412.5,1200,105,22,0,Above
609,59.75,-149.5,5,0,1350,3.75,325,437.5,2000,128,8,0,Above
611,59.75,-140.5,10,0,750,0.01,325,437.5,3600,140,7,0,Above
613,59,-137,416,0,4500,-1,350,462.5,2500,145,25,0,Below
615,58.75,-132.5,768,0,2750,0.75,337.5,462.5,1300,145,36,0,Above
617,58.75,-127.5,829,500,2500,-3,287.5,487.5,500,148,27,0,Below
619,58.75,-122.5,829,200,2750,-3,325,500,500,158,30,1,Below
621,58.75,-117.5,829,200,1250,-2.5,325,525,400,158,25,1,Below
623,58.75,-112.5,829,0,750,-2.5,325,512.5,375,158,25,1,Below
625,58.75,-107.5,829,200,750,-2.5,325,475,350,145,23,1,Below
627,58.75,-102.5,783,200,750,-5,312.5,437.5,350,120,18,0,Below
629,58.75,-97.5,829,0,350,-7,312.5,400,350,118,15,0,Below
631,58,-93.75,249,0,350,-7.5,312.5,375,350,115,10,0,Below
637,58.75,-76.5,332,0,350,-7.5,212.5,262.5,425,50,3,0,Below
639,58.75,-72.5,829,0,350,-7.5,212.5,262.5,425,51,7,0,Below
641,58.25,-67.5,478,0,750,-7.5,212.5,250,425,53,9,0,Below
643,58,-63.5,291,0,1750,-7.5,212.5,250,525,50,7,0,Below
705,57,-157.5,715,0,2000,2.5,287.5,412.5,900,105,1,0,Above
715,56.25,-131.5,352,0,2500,2.5,350,462.5,2550,145,32,2,Above
717,56.25,-127.5,850,0,2250,0.01,350,487.5,1550,150,37,1,Above
719,56.25,-122.5,850,500,2750,0.01,337.5,525,550,168,37,1,Above
721,56.25,-117.5,850,200,1250,1.5,337.5,562.5,550,175,30,1,Above
723,56.25,-112.5,850,200,750,0.01,337.5,550,425,175,31,1,Above
725,56.25,-107.5,850,200,750,-1.5,337.5,500,425,168,28,1,Below
727,56.25,-102.5,726,200,750,-2.5,337.5,450,425,150,26,1,Below
729,56.25,-97.5,850,100,350,-3,337.5,425,425,130,24,0,Below
731,56.25,-92.5,757,0,350,-4.17,350,425,425,125,20,0,Below
733,56,-88.5,393,0,150,-5,350,400,475,120,10,0,Below
735,55.25,-83.5,790,0,50,-5,350,387.5,475,100,2,0,Below
737,56,-76.5,352,0,350,-3.5,312.5,337.5,525,70,9,0,Below
739,56.25,-72.5,850,0,750,-5.5,312.5,337.5,525,57,11,0,Below
741,56.25,-67.5,850,0,750,-5.5,300,287.5,650,57,11,0,Below
743,56,-63,621,0,1000,-3,300,312.5,850,57,10,0,Below
745,55.25,-59.75,10,0,350,-2.5,300,337.5,725,55,5,0,Below
815,54.75,-130.5,15,0,1250,7.5,375,462.5,950,135,24,1,Above
817,53.75,-127,811,0,2500,4.17,375,487.5,1500,148,42,2,Above
819,53.75,-122.5,890,500,2750,2,350,575,900,168,40,2,Above
821,53.75,-117.5,890,500,3500,1.5,350,625,900,181,41,2,Above
823,53.75,-112.5,890,500,1250,2.5,350,625,375,190,34,3,Above
825,53.75,-107.5,890,200,750,2.5,375,587.5,375,190,33,3,Above
827,53.75,-102.5,875,200,750,0.01,375,562.5,375,190,38,1,Above
829,54.25,-97.5,767,100,350,-2.5,400,512.5,425,180,34,2,Below
831,53.75,-92.5,890,100,350,-2.5,412.5,487.5,525,160,23,1,Below
833,53.75,-87.5,436,0,350,-2.5,425,450,575,140,20,1,Below
835,53.75,-83.75,801,0,200,-2.5,425,362.5,575,120,16,1,Below
837,53.75,-77,890,0,350,-2.5,400,412.5,625,110,14,1,Below
839,53.75,-72.5,890,200,750,-2.5,400,400,800,70,14,1,Below
841,53.75,-67.5,890,200,750,-2.5,387.5,387.5,1050,70,16,0,Below
843,53.75,-62.5,622,0,750,-1.75,375,375,1050,65,18,0,Below
845,53.25,-58,394,0,1250,-0.5,375,362.5,1050,63,17,0,Below
917,51.5,-126.5,933,0,4000,5.83,412.5,462.5,2250,138,39,3,Above
919,51.25,-122.5,933,0,3000,4.17,350,612.5,1100,180,52,8,Above
921,51.25,-117.5,933,200,3500,2.5,350,700,850,181,56,9,Above
923,51.25,-112.5,933,500,3000,2.5,350,712.5,625,195,42,8,Above
925,51.25,-107.5,933,200,750,2.5,412.5,687.5,325,195,32,7,Above
927,51.25,-102.5,933,200,750,2.3,412.5,637.5,400,195,38,6,Above
929,51.25,-97.5,208,200,750,1.5,437.5,625,475,195,42,7,Above
931,51.25,-92.5,933,200,350,0.01,437.5,575,625,180,37,4,Above
933,51.25,-87.5,933,100,350,-2.3,437.5,537.5,675,158,29,1,Below
935,51.25,-83,829,0,350,-2.5,437.5,500,675,138,26,1,Below
937,51.25,-78,833,0,500,-2.5,425,500,725,118,26,1,Below
939,51.25,-72.5,933,200,1250,-2.5,425,475,1050,98,24,1,Below
941,51.25,-67.5,870,0,1250,-2.3,425,450,1200,108,22,1,Below
943,51.25,-62.5,850,0,750,-1.5,425,425,1200,105,20,1,Below
945,51.5,-58,394,0,750,0.5,425,412.5,1200,78,21,0,Above
1019,48.75,-123.75,150,0,2750,10,425,575,2100,175,52,8,Above
1020,48.75,-121.25,406,0,2750,8.75,362.5,750,1350,183,63,16,Above
1021,48.75,-118.75,492,200,2750,7,312.5,825,575,187,47,14,Above
1022,48.75,-116.25,492,500,2750,6.26,312.5,825,625,195,53,10,Above
1023,48.75,-113.75,492,500,3000,5,312.5,762.5,650,195,55,11,Above
1024,48.75,-111.25,492,500,2250,5,350,775,400,198,30,14,Above
1025,48.75,-108.75,492,500,2000,5,387.5,800,350,198,31,12,Above
1026,48.75,-106.25,492,500,1150,4.12,425,800,300,185,19,13,Above
1027,48.75,-103.75,492,500,1000,3.75,425,800,400,185,28,14,Above
1028,48.75,-101.25,492,200,750,2.5,475,800,500,190,34,11,Above
1029,48.75,-98.75,492,200,750,2.5,475,775,575,190,40,10,Above
1030,48.75,-96.25,492,200,450,2.5,500,725,500,195,58,9,Above
1031,48.75,-93.75,492,200,450,2.5,512.5,700,575,195,62,8,Above
1032,48.75,-91.25,428,200,750,2.5,512.5,662.5,675,185,53,6,Above
1033,49.25,-89,299,200,750,2.5,512.5,637.5,675,175,48,5,Above
1034,49.25,-86,332,200,750,2.5,512.5,600,800,168,35,3,Above
1035,48.75,-83.75,492,100,750,2,512.5,600,800,165,38,3,Above
1036,48.75,-81.25,492,200,750,1.75,512.5,600,800,158,39,3,Above
1037,48.75,-78.75,492,100,400,1.25,500,562.5,800,150,38,1,Above
1038,48.75,-76.25,492,200,750,0.83,500,562.5,950,138,36,2,Above
1039,48.75,-73.75,492,0,750,1.25,500,550,950,138,39,3,Above
1040,48.75,-71.25,492,0,1000,2,500,537.5,1150,140,44,3,Above
1041,48.75,-68.75,374,0,750,2.5,500,550,1050,138,49,4,Above
1042,48.5,-66.25,278,0,1250,2.5,500,550,1050,138,47,4,Above
1043,49.25,-63.75,192,0,750,2.5,500,550,1050,130,33,2,Above
1044,49.25,-62.75,53,0,350,2.5,500,550,850,125,20,0,Above
1119,46.25,-123.25,106,0,1250,12.25,425,700,2400,175,50,14,Above
1120,46.25,-121.25,510,0,4500,9.17,375,912.5,275,188,67,22,Above
1121,46.25,-118.75,510,0,2250,10,337.5,1012.5,400,192,44,18,Above
1122,46.25,-116.25,510,150,2750,8,300,987.5,575,195,56,13,Above
1123,46.25,-113.75,510,900,3250,7.5,287.5,900,375,198,56,11,Above
1124,46.25,-111.25,510,900,3250,7.5,312.5,875,450,205,48,16,Above
1125,46.25,-108.75,510,900,4000,7.5,362.5,900,325,200,46,15,Above
1126,46.25,-106.25,510,600,1750,7.5,400,900,325,190,33,16,Above
1127,46.25,-103.75,510,600,1150,7,437.5,900,375,183,32,16,Above
1128,46.25,-101.25,510,518,701,7,475,900,375,188,29,13,Above
1129,46.25,-98.75,510,305,701,6.25,512.5,875,425,193,38,11,Above
1130,46.25,-96.25,510,274,640,6.25,562.5,875,525,188,70,14,Above
1131,46.25,-93.75,510,150,450,5.83,600,825,625,192,79,20,Above
1132,45.75,-91.25,133,150,600,5,600,775,750,185,77,19,Above
1133,45.75,-88.75,111,100,750,5,600,775,800,183,81,16,Above
1134,46.25,-86.25,322,100,400,7.5,600,737.5,800,181,71,16,Above
1135,47,-83.75,177,100,750,5,600,700,800,178,73,14,Above
1136,47,-81.25,166,100,750,5,600,662.5,800,175,58,16,Above
1137,46.25,-78.75,510,100,750,4,600,662.5,775,172,62,18,Above
1138,46.25,-76.25,510,121,518,5,600,650,875,168,80,17,Above
1139,46.25,-73.75,510,0,1250,5,600,662.5,950,158,85,13,Above
1140,46.25,-71.25,510,0,1250,4.11,600,675,1150,155,69,8,Above
1141,46.25,-68.75,510,0,1600,5,600,687.5,950,153,72,8,Above
1142,46.25,-66.25,377,0,750,5.83,600,700,1050,148,69,8,Above
1143,46,-63.75,255,0,350,7.5,587.5,700,1100,140,59,8,Above
1144,46,-61,155,0,500,7.5,575,700,1150,,50,7,Above
1219,43.75,-123.5,323,0,1750,12.25,400,850,1350,185,69,19,Above
1220,43.75,-121.25,529,150,2750,8,375,1100,1000,198,64,25,Above
1221,43.75,-118.75,529,900,2750,7.5,350,1237.5,375,198,46,21,Above
1222,43.75,-116.25,529,600,2750,9,312.5,1125,425,183,44,21,Above
1223,43.75,-113.75,529,1200,3250,7,275,1037.5,375,185,38,22,Above
1224,43.75,-111.25,529,1200,3500,4.17,275,937.5,425,185,36,21,Above
1225,43.75,-108.75,529,1200,4200,5.83,312.5,975,275,195,38,15,Above
1226,43.75,-106.25,529,1200,4000,7.5,375,1012.5,300,192,43,17,Above
1227,43.75,-103.75,529,600,2250,7.5,400,1012.5,375,185,44,23,Above
1228,43.75,-101.25,529,300,1050,7.5,475,1012.5,425,170,28,23,Above
1229,43.75,-98.75,529,300,750,7.5,550,1000,425,168,36,27,Above
1230,43.75,-96.25,529,200,750,7.5,650,975,625,178,59,27,Above
1231,43.75,-93.75,529,150,450,7.5,700,962.5,800,180,84,31,Above
1232,43.75,-91.25,529,150,450,7.5,700,937.5,800,183,98,32,Above
1233,43.75,-89,108,200,350,7.5,700,900,800,185,101,33,Above
1234,43.75,-86,215,200,350,7.5,700,850,800,185,106,30,Above
1235,43.75,-84,204,100,350,7.5,675,825,800,185,115,28,Above
1236,43.75,-81,139,100,750,7.5,662.5,812.5,900,175,108,24,Above
1237,43.75,-78.75,387,0,350,7.5,662.5,800,825,175,113,26,Above
1238,43.75,-76,452,0,750,7.5,662.5,850,1050,175,116,24,Above
1239,43.75,-73.75,529,0,1350,6.25,700,850,1050,175,114,21,Above
1240,44,-71.25,452,0,1750,7.5,700,850,950,173,105,18,Above
1241,44.5,-69,151,0,350,7.5,675,900,1150,162,86,14,Above
1242,43.25,-66.25,183,0,350,7.5,675,900,1250,153,59,9,Above
1243,44.75,-64.25,129,0,350,7.5,675,900,1350,150,54,8,Above
1319,41.25,-123.5,345,0,2250,12.5,375,850,1300,188,97,21,Above
1320,41.25,-121.25,548,0,4000,9.4,312.5,1200,750,210,87,27,Above
1321,41.25,-118.75,548,900,2750,8.5,312.5,1325,250,210,25,24,Above
1322,41.25,-116.25,548,1200,3250,7.5,287.5,1250,250,188,32,22,Above
1323,41.25,-113.75,526,1200,3250,9.2,262.5,1112.5,325,188,36,20,Above
1324,41.25,-111.25,486,1200,4000,7,262.5,1037.5,300,195,48,25,Above
1325,41.25,-108.75,548,1200,3250,7,287.5,1087.5,300,195,41,18,Above
1326,41.25,-106.25,548,1200,3750,7.5,312.5,1175,375,195,47,24,Above
1327,41.25,-103.75,548,900,1750,8,400,1175,375,192,26,25,Above
1328,41.25,-101.25,548,600,1350,10,475,1175,475,178,22,30,Above
1329,41.25,-98.75,548,300,1050,10.5,600,1175,600,161,30,33,Above
1330,41.25,-96.25,548,200,450,11.25,750,1175,750,163,62,40,Above
1331,41.25,-93.75,548,200,500,11.25,800,1125,800,162,87,39,Above
1332,41.25,-91.25,548,100,350,11.25,800,1075,850,161,104,43,Above
1333,41.25,-88.75,529,100,350,11.25,787.5,1025,850,170,112,40,Above
1334,41.25,-86.25,431,100,350,10.5,775,1025,950,175,118,39,Above
1335,41.25,-83.75,403,100,450,10.83,762.5,1000,800,175,123,32,Above
1336,41.25,-81.25,380,100,350,10,762.5,987.5,950,175,131,31,Above
1337,41.25,-78.75,548,100,1100,9.2,762.5,987.5,950,173,137,32,Above
1338,41.25,-76.25,548,0,750,10,800,1025,1050,173,141,30,Above
1339,41.75,-74,388,0,1250,10,800,1025,1150,175,133,30,Above
1340,42,-71.75,173,0,450,10,800,1000,1050,168,104,21,Above
1419,38.75,-124,151,0,1750,13.5,375,900,1150,189,84,20,Above
1420,38.75,-121.25,515,0,2250,15.75,300,1250,1100,210,94,31,Above
1421,38.75,-118.75,566,500,3750,10.8,262.5,1500,225,210,72,34,Above
1422,38.75,-116.25,566,1000,3750,6.8,237.5,1375,225,184,25,29,Above
1423,38.75,-113.75,566,1000,3750,8.75,237.5,1300,275,175,44,39,Above
1424,38.75,-111.25,566,900,3250,10,237.5,1200,300,181,48,38,Above
1425,38.75,-108.75,566,1200,4300,8.25,262.5,1250,475,188,50,29,Above
1426,38.75,-106.25,566,1500,4500,6,287.5,1275,425,195,51,25,Above
1427,38.75,-103.75,566,1000,3500,12,350,1325,375,195,40,38,Above
1428,38.75,-101.25,566,600,1250,12.5,475,1300,425,180,18,41,Above
1429,38.75,-98.75,566,300,1050,12.5,675,1275,625,152,37,50,Above
1430,38.75,-96.25,566,200,450,12.5,825,1250,950,152,77,61,Above
1431,38.75,-93.75,566,200,350,12.5,862.5,1250,850,150,96,60,Above
1432,38.75,-91.25,566,100,350,12.5,875,1200,850,148,120,59,Above
1433,38.75,-88.75,566,0,225,12.5,862.5,1250,950,149,141,62,Above
1434,38.75,-86.25,566,0,450,12.5,862.5,1162.5,1050,150,148,52,Above
1435,38.75,-83.75,566,191,381,12.5,850,1175,950,159,152,41,Above
1436,38.75,-81.25,566,191,1295,12,850,1175,950,165,142,40,Above
1437,38.75,-78.75,566,0,175,12,850,1175,1000,166,161,47,Above
1438,38.75,-76.25,432,0,750,13,862.5,1187.5,1150,165,148,46,Above
1439,39.5,-74.5,49,0,75,12.5,862.5,1125,1150,160,78,32,Above
1520,36.5,-121,339,0,1350,16.25,350,1250,550,190,81,32,Above
1521,36.25,-118.75,585,0,4000,15,287.5,1600,500,195,83,50,Above
1522,36.25,-116.25,585,200,2750,17.3,200,1625,150,195,49,50,Above
1523,36.25,-113.75,585,200,3250,17.3,200,1425,350,180,69,56,Above
1524,36.25,-111.25,585,900,3250,11.56,250,1425,425,180,67,46,Above
1525,36.25,-108.75,585,1200,3750,10,250,1425,350,180,51,32,Above
1526,36.25,-106.25,585,1000,4000,9.5,250,1525,350,195,51,53,Above
1527,36.25,-103.75,585,1000,3500,12,375,1500,375,190,33,50,Above
1528,36.25,-101.25,585,300,1050,13,525,1425,500,170,31,48,Above
1529,36.25,-98.75,585,150,750,16.5,712.5,1350,700,145,54,58,Above
1530,36.25,-96.25,585,150,750,16.5,862.5,1350,925,145,102,66,Above
1531,36.25,-93.75,585,0,750,15,925,1375,1050,143,137,63,Above
1532,36.25,-91.25,585,0,750,15.8,925,1312.5,1150,142,150,57,Above
1533,36.25,-88.75,585,0,350,15.8,912.5,1312.5,1150,142,154,58,Above
1534,36.5,-86.25,585,0,750,15.8,912.5,1300,1250,141,155,49,Above
1535,36.25,-83.75,585,150,2000,13.5,912.5,1300,1400,145,164,46,Above
1536,36.25,-81.25,585,0,150,15,912.5,1300,1400,155,167,47,Above
1537,36.25,-78.75,585,0,150,17,925,1300,1150,155,159,56,Above
1538,36.25,-76.75,356,0,225,17,925,1325,1250,165,130,55,Above
1620,34.75,-120.5,43,0,1200,15,325,1450,400,177,52,11,Above
1621,33.75,-118.75,228,0,2750,17.5,300,1562.5,425,185,87,41,Above
1622,33.75,-116.25,570,0,3500,20,175,1700,400,215,90,62,Above
1623,33.75,-113.75,604,0,2250,20.5,137.5,1800,250,215,71,59,Above
1624,33.75,-111.25,604,0,2750,16.5,275,1750,325,215,99,79,Above
1625,33.75,-108.75,604,600,3250,15,275,1650,325,180,85,71,Above
1626,33.75,-106.25,604,1200,3250,13.5,275,1700,375,178,60,65,Above
1627,33.75,-103.75,604,900,1750,14.5,350,1650,375,180,18,63,Above
1628,33.75,-101.25,604,150,1350,16.5,500,1600,475,160,32,53,Above
1629,33.75,-98.75,604,0,750,17.5,712.5,1575,700,143,62,72,Above
1630,33.75,-96.25,604,0,750,17.5,875,1450,1000,135,120,82,Above
1631,33.75,-93.75,604,0,750,17.5,950,1400,1150,135,150,69,Above
1632,33.75,-91.25,604,0,225,17.5,950,1400,1250,133,142,67,Above
1633,33.75,-88.75,604,0,350,17.5,950,1425,1250,130,166,67,Above
1634,33.75,-86.25,604,0,750,17.5,950,1412.5,1250,139,177,62,Above
1635,33.75,-83.75,604,0,1250,17.5,950,1425,1150,143,175,64,Above
1636,33.75,-81.75,604,0,700,17.5,950,1425,1150,142,181,65,Above
1637,34.25,-79,285,0,250,17.5,950,1437.5,1150,135,149,61,Above
1638,34.75,-77,54,0,150,17.5,937.5,1362.5,375,140,91,52,Above
1723,31.25,-113.75,403,0,1372,22.5,150,2025,275,215,35,61,Above
1724,31.25,-111.25,623,152,2896,20,325,1900,325,210,93,78,Above
1725,31.25,-108.75,623,1067,2896,17,375,1850,375,230,85,79,Above
1726,31.25,-106.25,623,1500,2250,17,275,1750,325,220,46,69,Above
1727,31.25,-103.75,623,700,2250,17,350,1800,300,190,76,78,Above
1728,31.25,-101.25,623,400,1250,17.5,487.5,1750,375,160,57,78,Above
1729,31.25,-98.75,623,100,850,18,700,1625,650,139,96,85,Above
1730,31.25,-96.25,623,0,250,18.5,862.5,1562.5,1050,121,119,85,Above
1731,31.25,-93.75,623,0,225,18.75,937.5,1525,1250,121,141,68,Above
1732,31.25,-91.25,623,0,225,18.75,975,1500,1400,121,154,71,Above
1733,31.25,-88.75,523,0,225,18.75,1000,1500,1500,117,163,75,Above
1734,31.25,-86.25,498,0,225,18.75,1000,1537.5,1500,123,177,71,Above
1735,31.25,-83.75,623,0,150,18.75,1000,1550,1150,129,174,71,Above
1736,31.25,-81.75,295,0,150,20,1000,1550,1150,129,141,65,Above
1827,28.75,-103.75,642,700,2250,22,300,1850,225,178,79,68,Above
1828,28.75,-101.25,642,100,1750,22,425,1737.5,325,170,80,78,Above
1829,28.75,-98.75,642,0,850,22,600,1700,650,160,108,86,Above
1830,29.25,-96.5,404,0,100,22.5,800,1650,1025,140,104,84,Above
1831,29.75,-93.75,98,0,100,22.5,925,1525,1250,118,73,58,Above
1832,29.75,-91,164,0,100,22.5,975,1525,1450,118,69,48,Above
1833,29.75,-89.75,98,0,100,22.5,1025,1525,1450,118,40,46,Above
1834,29.75,-85.25,20,0,100,22.5,1025,1525,1450,108,99,54,Above
1835,29.25,-83,142,0,100,22.5,1025,1575,1200,108,150,68,Above
1836,28.75,-81.75,513,0,100,22.5,1025,1575,1200,110,149,67,Above
1929,26.25,-98.75,662,0,2500,22.5,575,1675,525,200,68,66,Above
1930,26.25,-95.75,49,0,250,22.5,662.5,1650,675,200,28,45,Above
1935,27.5,-82.75,5,0,150,22.5,1025,1575,1350,100,57,1,Above
1936,26.5,-81,390,0,150,22.5,1025,1575,1350,100,142,62,Above
